n,ideal_time_ps,raw_time_ps,dtc_time_ps,ideal_raw_diff_ps,ideal_dtc_diff_ps,raw_period_ps,dtc_period_ps
0,142355000,142084100,142112630,-270900,-242370,0,0
1,143157000,142892100,142918630,-264900,-238370,808000,806000
2,143959000,143692100,143724630,-266900,-234370,800000,806000
3,144761000,144516100,144530630,-244900,-230370,824000,806000
4,145563000,145292100,145320630,-270900,-242370,776000,790000
5,146365000,146108100,146126630,-256900,-238370,816000,806000
6,147167000,146900100,146932630,-266900,-234370,792000,806000
7,147969000,147724100,147730630,-244900,-238370,824000,798000
8,148771000,148500100,148528630,-270900,-242370,776000,798000
9,149573000,149308100,149334630,-264900,-238370,808000,806000
10,150375000,150108100,150140630,-266900,-234370,800000,806000
11,151177000,150932100,150946630,-244900,-230370,824000,806000
12,151979000,151708100,151736630,-270900,-242370,776000,790000
13,152781000,152524100,152542630,-256900,-238370,816000,806000
14,153583000,153316100,153348630,-266900,-234370,792000,806000
15,154385000,154140100,154146630,-244900,-238370,824000,798000
16,155187000,154916100,154944630,-270900,-242370,776000,798000
17,155989000,155724100,155750630,-264900,-238370,808000,806000
18,156791000,156524100,156556630,-266900,-234370,800000,806000
19,157593000,157348100,157362630,-244900,-230370,824000,806000
20,158395000,158124100,158152630,-270900,-242370,776000,790000
21,159197000,158940100,158958630,-256900,-238370,816000,806000
22,159999000,159732100,159764630,-266900,-234370,792000,806000
23,160801000,160556100,160562630,-244900,-238370,824000,798000
24,162405000,162148100,162176630,-256900,-228370,1592000,1614000
25,163207000,162948100,162968630,-258900,-238370,800000,792000
26,164009000,163748100,163768630,-260900,-240370,800000,800000
27,164811000,164548100,164568630,-262900,-242370,800000,800000
28,165613000,165348100,165370630,-264900,-242370,800000,802000
29,166415000,166148100,166174630,-266900,-240370,800000,804000
30,167217000,166948100,166980630,-268900,-236370,800000,806000
31,168019000,167772100,167786630,-246900,-232370,824000,806000
32,168821000,168548100,168576630,-272900,-244370,776000,790000
33,169623000,169364100,169382630,-258900,-240370,816000,806000
34,170425000,170156100,170188630,-268900,-236370,792000,806000
