time_ps,e_o_1,y_o_2,y_o_3,comp2rd_same_cycle
142892100,-512,0,1,512
143692100,-256,1,0,768
144516100,0,1,1,2048
145292100,256,0,0,256
146108100,-512,0,0,-512
146900100,-256,0,0,-256
147724100,0,1,1,2048
148500100,256,0,0,256
149308100,-512,0,1,512
150108100,-256,1,0,768
150932100,0,1,1,2048
151708100,256,0,0,256
152524100,-512,0,0,-512
153316100,-256,0,0,-256
154140100,0,1,1,2048
154916100,256,0,0,256
155724100,-512,0,1,512
156524100,-256,1,0,768
157348100,0,1,1,2048
158124100,256,0,0,256
158940100,-512,0,0,-512
159732100,-256,0,0,-256
160556100,0,1,1,2048
162148100,256,0,0,256
162948100,-512,0,0,-512
163748100,-256,0,0,-256
164548100,0,1,1,2048
165348100,256,0,0,256
166148100,-512,0,1,512
166948100,-256,1,0,768
167772100,0,1,1,2048
168548100,256,0,0,256
169364100,-512,0,0,-512
170156100,-256,0,0,-256
170980100,0,1,1,2048
171756100,256,0,0,256
172564100,-512,0,1,512
173364100,-256,1,0,768
174188100,0,1,1,2048
174964100,256,0,0,256
175780100,-512,0,0,-512
176572100,-256,0,0,-256
177396100,0,1,1,2048
178172100,256,0,0,256
178980100,-512,0,1,512
179780100,-256,1,0,768
180604100,0,1,1,2048
181380100,256,0,0,256
182196100,-512,0,0,-512
182988100,-256,0,0,-256
183812100,0,1,1,2048
184588100,256,0,0,256
185396100,-512,0,1,512
186196100,-256,1,0,768
187020100,0,1,1,2048
187796100,256,0,0,256
188612100,-512,0,0,-512
189404100,-256,0,0,-256
190228100,0,1,1,2048
191004100,256,0,0,256
191812100,-512,0,1,512
192612100,-256,1,0,768
193436100,0,1,1,2048
194212100,256,0,0,256
195028100,-512,0,0,-512
195820100,-256,0,0,-256
196644100,0,1,1,2048
197420100,256,0,0,256
198228100,-512,0,1,512
199028100,-256,1,0,768
199852100,0,1,1,2048
200628100,256,0,0,256
201444100,-512,0,0,-512
202236100,-256,0,0,-256
203060100,0,1,1,2048
203836100,256,0,0,256
204644100,-512,0,1,512
205444100,-256,1,0,768
206268100,0,1,1,2048
207044100,256,0,0,256
207860100,-512,0,0,-512
208652100,-256,0,0,-256
209476100,0,1,1,2048
210252100,256,0,0,256
211060100,-512,0,1,512
211860100,-256,1,0,768
212684100,0,1,1,2048
213460100,256,0,0,256
214276100,-512,0,0,-512
215068100,-256,0,0,-256
215892100,0,1,1,2048
216668100,256,0,0,256
217476100,-512,0,1,512
218276100,-256,1,0,768
219100100,0,1,1,2048
219876100,256,0,0,256
220692100,-512,0,0,-512
221484100,-256,0,0,-256
222308100,0,1,1,2048
223084100,256,0,0,256
223892100,-512,0,1,512
224692100,-256,1,0,768
225516100,0,1,1,2048
226292100,256,0,0,256
227108100,-512,0,0,-512
227900100,-256,0,0,-256
228724100,0,1,1,2048
229500100,256,0,0,256
230308100,-512,0,1,512
231108100,-256,1,0,768
231932100,0,1,1,2048
232708100,256,0,0,256
233524100,-512,0,0,-512
234316100,-256,0,0,-256
235140100,0,1,1,2048
235916100,256,0,0,256
236724100,-512,0,1,512
237524100,-256,1,0,768
238348100,0,1,1,2048
239124100,256,0,0,256
239940100,-512,0,0,-512
240732100,-256,0,0,-256
241556100,0,1,1,2048
