=============================================
REF??? (div_out_raw_g) vs DTC??? (???code*20ps)
gain=160 1??ASH 20ps/tap  (??????=1ps)
=============================================

??? | REF???(ps)    | REF???(ps)    | DTC???(ps)    | DTC???(ps)    | ???(ps) | code
-----+----------------+----------------+----------------+----------------+----------+------
  0  | 513200          | -              | 513200          | -              | 0     | 29
  1  | 922800          | 409600          | 922800          | 409600          | 0     | 29
  2  | 1036400          | 113600          | 1036400          | 113600          | 0     | 29
  3  | 1150000          | 113600          | 1150320          | 113920          | 320     | 29
  4  | 1263600          | 113600          | 1264260          | 113940          | 660     | 29
  5  | 1377200          | 113600          | 1378180          | 113920          | 980     | 29
  6  | 1490800          | 113600          | 1492120          | 113940          | 1320     | 29
  7  | 1606000          | 115200          | 1606060          | 113940          | 60     | 29
  8  | 1719600          | 113600          | 1719980          | 113920          | 380     | 29
  9  | 1834800          | 115200          | 1835520          | 115540          | 720     | 29
  10  | 1950000          | 115200          | 1951060          | 115540          | 1060     | 29
  11  | 2063600          | 113600          | 2064980          | 113920          | 1380     | 29
  12  | 2177200          | 113600          | 2177320          | 112340          | 120     | 29
  13  | 2292400          | 115200          | 2292840          | 115520          | 440     | 29
  14  | 2407600          | 115200          | 2408380          | 115540          | 780     | 29
  15  | 2521200          | 113600          | 2522320          | 113940          | 1120     | 29
  16  | 2636400          | 115200          | 2637840          | 115520          | 1440     | 29
  17  | 2751600          | 115200          | 2751780          | 113940          | 180     | 29
  18  | 2865200          | 113600          | 2865720          | 113940          | 520     | 29
  19  | 2978800          | 113600          | 2979640          | 113920          | 840     | 29
  20  | 3094000          | 115200          | 3095180          | 115540          | 1180     | 29
  21  | 3207600          | 113600          | 3209100          | 113920          | 1500     | 29
  22  | 3322800          | 115200          | 3323040          | 113940          | 240     | 29
  23  | 3438000          | 115200          | 3438580          | 115540          | 580     | 29
  24  | 3553200          | 115200          | 3554100          | 115520          | 900     | 29
  25  | 3666800          | 113600          | 3668040          | 113940          | 1240     | 29
  26  | 3780400          | 113600          | 3781980          | 113940          | 1580     | 29
  27  | 3894000          | 113600          | 3894300          | 112320          | 300     | 29
  28  | 4007600          | 113600          | 4008240          | 113940          | 640     | 29
  29  | 4122800          | 115200          | 4123760          | 115520          | 960     | 29
  30  | 4238000          | 115200          | 4239300          | 115540          | 1300     | 29
  31  | 4351600          | 113600          | 4351640          | 112340          | 40     | 29
  32  | 4465200          | 113600          | 4465560          | 113920          | 360     | 29
  33  | 4578800          | 113600          | 4579500          | 113940          | 700     | 29
  34  | 4692400          | 113600          | 4693440          | 113940          | 1040     | 29
  35  | 4807600          | 115200          | 4808960          | 115520          | 1360     | 29
  36  | 4921200          | 113600          | 4921300          | 112340          | 100     | 29
  37  | 5036400          | 115200          | 5036820          | 115520          | 420     | 29
  38  | 5150000          | 113600          | 5150760          | 113940          | 760     | 29
  39  | 5265200          | 115200          | 5266300          | 115540          | 1100     | 29
  40  | 5380400          | 115200          | 5381820          | 115520          | 1420     | 29
  41  | 5495600          | 115200          | 5495760          | 113940          | 160     | 29
