VCD info: dumpfile dtc_waveform.vcd opened for output.
=============================================
??????:
  cal_auto_en=0 dtc_gain_muxed=160 order_sel=0
  stage_sel=2'b01 eo_dly_sel=2'b01 dtc_en=1
=============================================

?? | REF??(ps)    | REF??(ps)    | DTC??(ps)    | DTC??(ps)    | ??(ps)
-----+----------------+----------------+----------------+----------------+----------
  0  | 513200          | -              | 513200          | -              | 0
  1  | 922800          | 409600          | 922800          | 409600          | 0
  2  | 1036400          | 113600          | 1036400          | 113600          | 0
  3  | 1150000          | 113600          | 1150000          | 113600          | 0
  4  | 1263600          | 113600          | 1263920          | 113920          | 320
  5  | 1377200          | 113600          | 1377860          | 113940          | 660
  6  | 1490800          | 113600          | 1491780          | 113920          | 980
  7  | 1604400          | 113600          | 1605720          | 113940          | 1320
  8  | 1719600          | 115200          | 1719660          | 113940          | 60
  9  | 1833200          | 113600          | 1833580          | 113920          | 380
  10  | 1946800          | 113600          | 1947520          | 113940          | 720
  11  | 2060400          | 113600          | 2061460          | 113940          | 1060
  12  | 2174000          | 113600          | 2175380          | 113920          | 1380
  13  | 2289200          | 115200          | 2289320          | 113940          | 120
  14  | 2402800          | 113600          | 2403240          | 113920          | 440
  15  | 2516400          | 113600          | 2517180          | 113940          | 780
  16  | 2630000          | 113600          | 2631120          | 113940          | 1120
  17  | 2743600          | 113600          | 2745040          | 113920          | 1440
  18  | 2858800          | 115200          | 2858980          | 113940          | 180
  19  | 2972400          | 113600          | 2972920          | 113940          | 520
  20  | 3086000          | 113600          | 3086840          | 113920          | 840
  21  | 3199600          | 113600          | 3200780          | 113940          | 1180
  22  | 3313200          | 113600          | 3314700          | 113920          | 1500
  23  | 3428400          | 115200          | 3428640          | 113940          | 240
  24  | 3542000          | 113600          | 3542580          | 113940          | 580
  25  | 3655600          | 113600          | 3656500          | 113920          | 900
  26  | 3769200          | 113600          | 3770440          | 113940          | 1240
  27  | 3882800          | 113600          | 3884380          | 113940          | 1580
  28  | 3998000          | 115200          | 3998300          | 113920          | 300
  29  | 4111600          | 113600          | 4112240          | 113940          | 640
  30  | 4225200          | 113600          | 4226160          | 113920          | 960
  31  | 4338800          | 113600          | 4340100          | 113940          | 1300
  32  | 4454000          | 115200          | 4454040          | 113940          | 40
  33  | 4567600          | 113600          | 4567960          | 113920          | 360
