??? |  REF??? | REF??? | DTC??? | DTC??? | ???
-----+----------+---------+----------+---------+------
  0  | 198526000 |  -     | 198527000 |  -     | 1
  1  | 198641000 | 115     | 198643000 | 116     | 2
  2  | 198756000 | 115     | 198757000 | 114     | 1
  3  | 198870000 | 114     | 198870000 | 113     | 0
  4  | 198984000 | 114     | 198984000 | 114     | 0
  5  | 199099000 | 115     | 199100000 | 116     | 1
  6  | 199212000 | 113     | 199214000 | 114     | 2
  7  | 199328000 | 116     | 199328000 | 114     | 0
  8  | 199443000 | 115     | 199443000 | 115     | 0
  9  | 199558000 | 115     | 199559000 | 116     | 1
  10  | 199672000 | 114     | 199673000 | 114     | 1
  11  | 199787000 | 115     | 199788000 | 115     | 1
  12  | 199900000 | 113     | 199901000 | 113     | 1
  13  | 198182000 | 18446744073709549898     | 198182000 | 18446744073709549897     | 0
  14  | 198297000 | 115     | 198298000 | 116     | 1
  15  | 198411000 | 114     | 198412000 | 114     | 1
  16  | x000 | x     | x000 | x     | x
  17  | x000 | x     | x000 | x     | x
  18  | x000 | x     | x000 | x     | x
  19  | x000 | x     | x000 | x     | x
  20  | x000 | x     | x000 | x     | x
  21  | x000 | x     | x000 | x     | x
  22  | x000 | x     | x000 | x     | x
  23  | x000 | x     | x000 | x     | x
  24  | x000 | x     | x000 | x     | x
  25  | x000 | x     | x000 | x     | x
  26  | x000 | x     | x000 | x     | x
  27  | x000 | x     | x000 | x     | x
  28  | x000 | x     | x000 | x     | x
  29  | x000 | x     | x000 | x     | x
  30  | x000 | x     | x000 | x     | x
  31  | x000 | x     | x000 | x     | x
  32  | x000 | x     | x000 | x     | x
  33  | x000 | x     | x000 | x     | x
  34  | x000 | x     | x000 | x     | x
  35  | x000 | x     | x000 | x     | x
  36  | x000 | x     | x000 | x     | x
  37  | x000 | x     | x000 | x     | x
  38  | x000 | x     | x000 | x     | x
  39  | x000 | x     | x000 | x     | x
  40  | x000 | x     | x000 | x     | x
  41  | x000 | x     | x000 | x     | x
  42  | x000 | x     | x000 | x     | x
  43  | x000 | x     | x000 | x     | x
  44  | x000 | x     | x000 | x     | x
  45  | x000 | x     | x000 | x     | x
  46  | x000 | x     | x000 | x     | x
  47  | x000 | x     | x000 | x     | x
  48  | x000 | x     | x000 | x     | x
  49  | x000 | x     | x000 | x     | x
  50  | x000 | x     | x000 | x     | x
  51  | x000 | x     | x000 | x     | x
  52  | x000 | x     | x000 | x     | x
  53  | x000 | x     | x000 | x     | x
  54  | x000 | x     | x000 | x     | x
  55  | x000 | x     | x000 | x     | x
  56  | x000 | x     | x000 | x     | x
  57  | x000 | x     | x000 | x     | x
  58  | x000 | x     | x000 | x     | x
  59  | x000 | x     | x000 | x     | x
  60  | x000 | x     | x000 | x     | x
  61  | x000 | x     | x000 | x     | x
  62  | x000 | x     | x000 | x     | x
  63  | x000 | x     | x000 | x     | x
  64  | x000 | x     | x000 | x     | x
  65  | x000 | x     | x000 | x     | x
  66  | x000 | x     | x000 | x     | x
  67  | x000 | x     | x000 | x     | x
  68  | x000 | x     | x000 | x     | x
  69  | x000 | x     | x000 | x     | x
  70  | x000 | x     | x000 | x     | x
  71  | x000 | x     | x000 | x     | x
  72  | x000 | x     | x000 | x     | x
  73  | x000 | x     | x000 | x     | x
  74  | x000 | x     | x000 | x     | x
  75  | x000 | x     | x000 | x     | x
  76  | x000 | x     | x000 | x     | x
  77  | x000 | x     | x000 | x     | x
  78  | x000 | x     | x000 | x     | x
  79  | x000 | x     | x000 | x     | x
  80  | x000 | x     | x000 | x     | x
  81  | x000 | x     | x000 | x     | x
  82  | x000 | x     | x000 | x     | x
  83  | x000 | x     | x000 | x     | x
  84  | x000 | x     | x000 | x     | x
  85  | x000 | x     | x000 | x     | x
  86  | x000 | x     | x000 | x     | x
  87  | x000 | x     | x000 | x     | x
  88  | x000 | x     | x000 | x     | x
  89  | x000 | x     | x000 | x     | x
  90  | x000 | x     | x000 | x     | x
  91  | x000 | x     | x000 | x     | x
  92  | x000 | x     | x000 | x     | x
  93  | x000 | x     | x000 | x     | x
  94  | x000 | x     | x000 | x     | x
  95  | x000 | x     | x000 | x     | x
  96  | x000 | x     | x000 | x     | x
  97  | x000 | x     | x000 | x     | x
  98  | x000 | x     | x000 | x     | x
  99  | x000 | x     | x000 | x     | x
  100  | x000 | x     | x000 | x     | x
  101  | x000 | x     | x000 | x     | x
  102  | x000 | x     | x000 | x     | x
  103  | x000 | x     | x000 | x     | x
  104  | x000 | x     | x000 | x     | x
  105  | x000 | x     | x000 | x     | x
  106  | x000 | x     | x000 | x     | x
  107  | x000 | x     | x000 | x     | x
  108  | x000 | x     | x000 | x     | x
  109  | x000 | x     | x000 | x     | x
  110  | x000 | x     | x000 | x     | x
  111  | x000 | x     | x000 | x     | x
  112  | x000 | x     | x000 | x     | x
  113  | x000 | x     | x000 | x     | x
  114  | x000 | x     | x000 | x     | x
  115  | x000 | x     | x000 | x     | x
  116  | x000 | x     | x000 | x     | x
  117  | x000 | x     | x000 | x     | x
  118  | x000 | x     | x000 | x     | x
  119  | x000 | x     | x000 | x     | x
D:\GS\??\FPGA\xcvu9p-flga2104-2L-e\fpga_pll_mash111_dtc_ssc\RTL\testbench\openclaw\tb_top.v:56: $finish called at 200000000 (1ps)
