VCD info: dumpfile dtc_waveform.vcd opened for output.
=============================================
?????????:
  cal_auto_en=0 dtc_gain_muxed=160 order_sel=0
  stage_sel=2'b01 eo_dly_sel=2'b01 dtc_en=1
=============================================

??? | REF???(ps)    | REF???(ps)    | DTC???(ps)    | DTC???(ps)    | ???(ps)
-----+----------------+----------------+----------------+----------------+----------
  0  | 513200          | -              | 513200          | -              | 0
  1  | 922800          | 409600          | 922800          | 409600          | 0
  2  | 1036400          | 113600          | 1036400          | 113600          | 0
  3  | 1150000          | 113600          | 1150320          | 113920          | 320
  4  | 1263600          | 113600          | 1264260          | 113940          | 660
  5  | 1377200          | 113600          | 1378180          | 113920          | 980
  6  | 1490800          | 113600          | 1492120          | 113940          | 1320
  7  | 1604400          | 113600          | 1604460          | 112340          | 60
  8  | 1719600          | 115200          | 1719980          | 115520          | 380
  9  | 1833200          | 113600          | 1833920          | 113940          | 720
  10  | 1946800          | 113600          | 1947860          | 113940          | 1060
  11  | 2060400          | 113600          | 2061780          | 113920          | 1380
  12  | 2174000          | 113600          | 2174120          | 112340          | 120
  13  | 2289200          | 115200          | 2289640          | 115520          | 440
  14  | 2402800          | 113600          | 2403580          | 113940          | 780
  15  | 2516400          | 113600          | 2517520          | 113940          | 1120
  16  | 2630000          | 113600          | 2631440          | 113920          | 1440
  17  | 2743600          | 113600          | 2743780          | 112340          | 180
  18  | 2858800          | 115200          | 2859320          | 115540          | 520
  19  | 2972400          | 113600          | 2973240          | 113920          | 840
  20  | 3086000          | 113600          | 3087180          | 113940          | 1180
  21  | 3199600          | 113600          | 3201100          | 113920          | 1500
  22  | 3313200          | 113600          | 3313440          | 112340          | 240
  23  | 3428400          | 115200          | 3428980          | 115540          | 580
  24  | 3542000          | 113600          | 3542900          | 113920          | 900
  25  | 3655600          | 113600          | 3656840          | 113940          | 1240
  26  | 3769200          | 113600          | 3770780          | 113940          | 1580
  27  | 3882800          | 113600          | 3883100          | 112320          | 300
  28  | 3998000          | 115200          | 3998640          | 115540          | 640
  29  | 4111600          | 113600          | 4112560          | 113920          | 960
  30  | 4225200          | 113600          | 4226500          | 113940          | 1300
  31  | 4338800          | 113600          | 4338840          | 112340          | 40
  32  | 4454000          | 115200          | 4454360          | 115520          | 360
  33  | 4567600          | 113600          | 4568300          | 113940          | 700
