fout_n,raw_time_ps,ideal_clk_ps,raw_minus_ideal_ps,dtc_time_ps,dtc_minus_ideal_ps
0,162148100,162405000,-256900,162154630,-250370
1,162948100,163207000,-258900,162968630,-238370
2,163748100,164009000,-260900,163768630,-240370
3,164548100,164811000,-262900,164568630,-242370
4,165348100,165613000,-264900,165368630,-244370
5,166148100,166415000,-266900,166170630,-244370
6,166948100,167217000,-268900,166974630,-242370
7,167772100,168019000,-246900,167772100,-246900
8,168548100,168821000,-272900,168562630,-258370
9,169364100,169623000,-258900,169364100,-258900
10,170156100,170425000,-268900,170174630,-250370
11,170980100,171227000,-246900,170980100,-246900
12,171756100,172029000,-272900,171762630,-266370
13,172564100,172831000,-266900,172592630,-238370
14,173364100,173633000,-268900,173390630,-242370
15,174188100,174435000,-246900,174188100,-246900
16,174964100,175237000,-272900,174978630,-258370
17,175780100,176039000,-258900,175780100,-258900
18,176572100,176841000,-268900,176590630,-250370
19,177396100,177643000,-246900,177396100,-246900
20,178172100,178445000,-272900,178178630,-266370
21,178980100,179247000,-266900,179008630,-238370
22,179780100,180049000,-268900,179806630,-242370
23,180604100,180851000,-246900,180604100,-246900
24,181380100,181653000,-272900,181394630,-258370
25,182196100,182455000,-258900,182196100,-258900
26,182988100,183257000,-268900,183006630,-250370
27,183812100,184059000,-246900,183812100,-246900
28,184588100,184861000,-272900,184594630,-266370
29,185396100,185663000,-266900,185424630,-238370
30,186196100,186465000,-268900,186222630,-242370
31,187020100,187267000,-246900,187020100,-246900
32,187796100,188069000,-272900,187810630,-258370
33,188612100,188871000,-258900,188612100,-258900
34,189404100,189673000,-268900,189422630,-250370
35,190228100,190475000,-246900,190228100,-246900
36,191004100,191277000,-272900,191010630,-266370
37,191812100,192079000,-266900,191840630,-238370
38,192612100,192881000,-268900,192638630,-242370
39,193436100,193683000,-246900,193436100,-246900
40,194212100,194485000,-272900,194226630,-258370
41,195028100,195287000,-258900,195028100,-258900
42,195820100,196089000,-268900,195838630,-250370
43,196644100,196891000,-246900,196644100,-246900
44,197420100,197693000,-272900,197426630,-266370
45,198228100,198495000,-266900,198256630,-238370
46,199028100,199297000,-268900,199054630,-242370
47,199852100,200099000,-246900,199852100,-246900
48,200628100,200901000,-272900,200642630,-258370
49,201444100,201703000,-258900,201444100,-258900
50,202236100,202505000,-268900,202254630,-250370
51,203060100,203307000,-246900,203060100,-246900
52,203836100,204109000,-272900,203842630,-266370
53,204644100,204911000,-266900,204672630,-238370
54,205444100,205713000,-268900,205470630,-242370
55,206268100,206515000,-246900,206268100,-246900
56,207044100,207317000,-272900,207058630,-258370
57,207860100,208119000,-258900,207860100,-258900
58,208652100,208921000,-268900,208670630,-250370
59,209476100,209723000,-246900,209476100,-246900
