edge,raw_time,dtc_time,raw_period,dtc_period
0,162148100,162154630,800000,57470
1,162948100,162212100,800000,256000
2,163748100,162468100,800000,256000
3,164548100,162724100,800000,244530
4,165348100,162968630,800000,43470
5,166148100,163012100,800000,256000
6,166948100,163268100,824000,256000
7,167772100,163524100,776000,244530
8,168548100,163768630,816000,43470
9,169364100,163812100,792000,256000
10,170156100,164068100,824000,256000
11,170980100,164324100,776000,244530
12,171756100,164568630,808000,43470
13,172564100,164612100,800000,256000
14,173364100,164868100,824000,256000
15,174188100,165124100,776000,244530
16,174964100,165368630,816000,43470
17,175780100,165412100,792000,256000
18,176572100,165668100,824000,256000
19,177396100,165924100,776000,246530
20,178172100,166170630,808000,41470
21,178980100,166212100,800000,256000
22,179780100,166468100,824000,256000
23,180604100,166724100,776000,250530
24,181380100,166974630,816000,37470
25,182196100,167012100,792000,280000
26,182988100,167292100,824000,256000
27,183812100,167548100,776000,224000
28,184588100,167772100,808000,296000
29,185396100,168068100,800000,256000
30,186196100,168324100,824000,238530
31,187020100,168562630,776000,49470
32,187796100,168612100,816000,272000
33,188612100,168884100,792000,256000
34,189404100,169140100,824000,224000
35,190228100,169364100,776000,312000
36,191004100,169676100,808000,256000
37,191812100,169932100,800000,242530
38,192612100,170174630,824000,45470
39,193436100,170220100,776000,280000
40,194212100,170500100,816000,256000
41,195028100,170756100,792000,224000
42,195820100,170980100,824000,296000
43,196644100,171276100,776000,256000
44,197420100,171532100,808000,230530
45,198228100,171762630,800000,57470
46,199028100,171820100,824000,264000
47,199852100,172084100,776000,256000
48,200628100,172340100,816000,252530
49,201444100,172592630,792000,35470
50,202236100,172628100,824000,256000
51,203060100,172884100,776000,256000
52,203836100,173140100,808000,250530
53,204644100,173390630,800000,37470
54,205444100,173428100,824000,280000
55,206268100,173708100,776000,256000
56,207044100,173964100,816000,224000
57,207860100,174188100,792000,296000
58,208652100,174484100,824000,256000
59,209476100,174740100,776000,238530
60,210252100,174978630,808000,49470
61,211060100,175028100,800000,272000
62,211860100,175300100,824000,256000
63,212684100,175556100,776000,224000
64,213460100,175780100,816000,312000
65,214276100,176092100,792000,256000
66,215068100,176348100,824000,242530
67,215892100,176590630,776000,45470
68,216668100,176636100,808000,280000
69,217476100,176916100,800000,256000
70,218276100,177172100,824000,224000
71,219100100,177396100,776000,296000
72,219876100,177692100,816000,256000
73,220692100,177948100,792000,230530
74,221484100,178178630,824000,57470
75,222308100,178236100,776000,264000
76,223084100,178500100,808000,256000
77,223892100,178756100,800000,252530
78,224692100,179008630,824000,35470
79,225516100,179044100,776000,256000
80,226292100,179300100,816000,256000
81,227108100,179556100,792000,250530
82,227900100,179806630,824000,37470
83,228724100,179844100,776000,280000
84,229500100,180124100,808000,256000
85,230308100,180380100,800000,224000
86,231108100,180604100,824000,296000
87,231932100,180900100,776000,256000
88,232708100,181156100,816000,238530
89,233524100,181394630,792000,49470
90,234316100,181444100,824000,272000
91,235140100,181716100,776000,256000
92,235916100,181972100,808000,224000
93,236724100,182196100,800000,312000
94,237524100,182508100,824000,256000
95,238348100,182764100,776000,242530
96,239124100,183006630,816000,45470
97,239940100,183052100,792000,280000
98,240732100,183332100,824000,256000
99,241556100,183588100,0,0
