time_ps,time_us,ideal_clk,Fout,E_combined,edge_type
147872000,147.872,1,0,323,ideal_clk_rise
147880000,147.880,1,0,323,ideal_clk_rise
147888000,147.888,1,0,323,ideal_clk_rise
147896000,147.896,1,0,536,ideal_clk_rise
147904000,147.904,1,0,536,ideal_clk_rise
147912000,147.912,1,0,536,ideal_clk_rise
147920000,147.920,1,0,536,ideal_clk_rise
147928000,147.928,1,0,536,ideal_clk_rise
147936000,147.936,1,0,536,ideal_clk_rise
147944000,147.944,1,0,536,ideal_clk_rise
147952000,147.952,1,0,536,ideal_clk_rise
147960000,147.960,1,0,536,ideal_clk_rise
147968000,147.968,1,0,536,ideal_clk_rise
147976000,147.976,1,0,536,ideal_clk_rise
147984000,147.984,1,0,536,ideal_clk_rise
147992000,147.992,1,0,536,ideal_clk_rise
148000000,148.000,1,0,536,ideal_clk_rise
148008000,148.008,1,0,-1299,ideal_clk_rise
148016000,148.016,1,0,-1299,ideal_clk_rise
148024000,148.024,1,0,-1299,ideal_clk_rise
148032000,148.032,1,0,-1299,ideal_clk_rise
148040000,148.040,1,0,-1299,ideal_clk_rise
148048000,148.048,1,0,-1299,ideal_clk_rise
148056000,148.056,1,0,-1299,ideal_clk_rise
148064000,148.064,1,0,-1299,ideal_clk_rise
148072000,148.072,1,0,-1299,ideal_clk_rise
148080000,148.080,1,0,-1299,ideal_clk_rise
148088000,148.088,1,0,-1299,ideal_clk_rise
148096000,148.096,1,0,-1299,ideal_clk_rise
148104000,148.104,1,0,-1299,ideal_clk_rise
148112000,148.112,1,0,-1299,ideal_clk_rise
148120000,148.120,1,0,960,ideal_clk_rise
148128000,148.128,1,0,960,ideal_clk_rise
148136000,148.136,1,0,960,ideal_clk_rise
148144000,148.144,1,0,960,ideal_clk_rise
148152000,148.152,1,0,960,ideal_clk_rise
148160000,148.160,1,0,960,ideal_clk_rise
148168000,148.168,1,0,960,ideal_clk_rise
148176000,148.176,1,0,960,ideal_clk_rise
148184000,148.184,1,0,960,ideal_clk_rise
148192000,148.192,1,0,960,ideal_clk_rise
148200000,148.200,1,0,960,ideal_clk_rise
148208000,148.208,1,0,960,ideal_clk_rise
148216000,148.216,1,0,960,ideal_clk_rise
148224000,148.224,1,1,960,ideal_clk_rise
148232000,148.232,1,0,-873,ideal_clk_rise
148240000,148.240,1,0,-873,ideal_clk_rise
148248000,148.248,1,0,-873,ideal_clk_rise
148256000,148.256,1,0,-873,ideal_clk_rise
148264000,148.264,1,0,-873,ideal_clk_rise
148272000,148.272,1,0,-873,ideal_clk_rise
148280000,148.280,1,0,-873,ideal_clk_rise
148288000,148.288,1,0,-873,ideal_clk_rise
148296000,148.296,1,0,-873,ideal_clk_rise
148304000,148.304,1,0,-873,ideal_clk_rise
148312000,148.312,1,0,-873,ideal_clk_rise
148320000,148.320,1,0,-873,ideal_clk_rise
148328000,148.328,1,0,-873,ideal_clk_rise
148336000,148.336,1,0,-873,ideal_clk_rise
148344000,148.344,1,0,-873,ideal_clk_rise
148352000,148.352,1,0,1386,ideal_clk_rise
