ideal_clk_ps,div_out_raw_ps,div_out_dtc_ps,comp_3rd,sum_eo1,sum_eo2
141553000,142084100,142110630,256,0,0
142355000,142892100,142912630,-512,256,0
143157000,143692100,143714630,768,-256,256
143959000,144516100,144532630,-1024,512,0
144761000,145292100,145318630,1280,-512,512
145563000,146108100,146120630,-1536,768,0
146365000,146900100,146930630,768,-768,768
147167000,147724100,147732630,0,0,0
147969000,148500100,148526630,256,0,0
148771000,149308100,149328630,-512,256,0
149573000,150108100,150130630,768,-256,256
150375000,150932100,150948630,-1024,512,0
151177000,151708100,151734630,1280,-512,512
151979000,152524100,152536630,-1536,768,0
152781000,153316100,153346630,768,-768,768
153583000,154140100,154148630,0,0,0
154385000,154916100,154942630,256,0,0
155187000,155724100,155744630,-512,256,0
155989000,156524100,156546630,768,-256,256
156791000,157348100,157364630,-1024,512,0
157593000,158124100,158150630,1280,-512,512
158395000,158940100,158952630,-1536,768,0
159197000,159732100,159762630,768,-768,768
159999000,160556100,160564630,0,0,0
161603000,162148100,162174630,0,0,0
162405000,162948100,162968630,0,0,0
163207000,163748100,163768630,0,0,0
164009000,164548100,164568630,0,0,0
164811000,165348100,165368630,256,0,0
165613000,166148100,166168630,-512,256,0
166415000,166948100,166970630,768,-256,256
167217000,167772100,167788630,-1024,512,0
168019000,168548100,168574630,1280,-512,512
168821000,169364100,169376630,-1536,768,0
169623000,170156100,170186630,768,-768,768
170425000,170980100,170988630,0,0,0
171227000,171756100,171782630,256,0,0
172029000,172564100,172584630,-512,256,0
172831000,173364100,173386630,768,-256,256
173633000,174188100,174204630,-1024,512,0
174435000,174964100,174990630,1280,-512,512
175237000,175780100,175792630,-1536,768,0
176039000,176572100,176602630,768,-768,768
176841000,177396100,177404630,0,0,0
177643000,178172100,178198630,256,0,0
178445000,178980100,179000630,-512,256,0
179247000,179780100,179802630,768,-256,256
180049000,180604100,180620630,-1024,512,0
180851000,181380100,181406630,1280,-512,512
181653000,182196100,182208630,-1536,768,0
182455000,182988100,183018630,768,-768,768
183257000,183812100,183820630,0,0,0
184059000,184588100,184614630,256,0,0
184861000,185396100,185416630,-512,256,0
185663000,186196100,186218630,768,-256,256
186465000,187020100,187036630,-1024,512,0
187267000,187796100,187822630,1280,-512,512
188069000,188612100,188624630,-1536,768,0
188871000,189404100,189434630,768,-768,768
189673000,190228100,190236630,0,0,0
190475000,191004100,191030630,256,0,0
191277000,191812100,191832630,-512,256,0
192079000,192612100,192634630,768,-256,256
192881000,193436100,193452630,-1024,512,0
193683000,194212100,194238630,1280,-512,512
194485000,195028100,195040630,-1536,768,0
195287000,195820100,195850630,768,-768,768
196089000,196644100,196652630,0,0,0
196891000,197420100,197446630,256,0,0
197693000,198228100,198248630,-512,256,0
198495000,199028100,199050630,768,-256,256
199297000,199852100,199868630,-1024,512,0
200099000,200628100,200654630,1280,-512,512
200901000,201444100,201456630,-1536,768,0
201703000,202236100,202266630,768,-768,768
202505000,203060100,203068630,0,0,0
203307000,203836100,203862630,256,0,0
204109000,204644100,204664630,-512,256,0
204911000,205444100,205466630,768,-256,256
205713000,206268100,206284630,-1024,512,0
206515000,207044100,207070630,1280,-512,512
207317000,207860100,207872630,-1536,768,0
208119000,208652100,208682630,768,-768,768
208921000,209476100,209484630,0,0,0
209723000,210252100,210278630,256,0,0
210525000,211060100,211080630,-512,256,0
211327000,211860100,211882630,768,-256,256
212129000,212684100,212700630,-1024,512,0
212931000,213460100,213486630,1280,-512,512
213733000,214276100,214288630,-1536,768,0
214535000,215068100,215098630,768,-768,768
215337000,215892100,215900630,0,0,0
216139000,216668100,216694630,256,0,0
216941000,217476100,217496630,-512,256,0
217743000,218276100,218298630,768,-256,256
218545000,219100100,219116630,-1024,512,0
219347000,219876100,219902630,1280,-512,512
220149000,220692100,220704630,-1536,768,0
220951000,221484100,221514630,768,-768,768
221753000,222308100,222316630,0,0,0
222555000,223084100,223110630,256,0,0
223357000,223892100,223912630,-512,256,0
224159000,224692100,224714630,768,-256,256
224961000,225516100,225532630,-1024,512,0
225763000,226292100,226318630,1280,-512,512
226565000,227108100,227120630,-1536,768,0
227367000,227900100,227930630,768,-768,768
228169000,228724100,228732630,0,0,0
228971000,229500100,229526630,256,0,0
229773000,230308100,230328630,-512,256,0
230575000,231108100,231130630,768,-256,256
231377000,231932100,231948630,-1024,512,0
232179000,232708100,232734630,1280,-512,512
232981000,233524100,233536630,-1536,768,0
233783000,234316100,234346630,768,-768,768
234585000,235140100,235148630,0,0,0
235387000,235916100,235942630,256,0,0
236189000,236724100,236744630,-512,256,0
236991000,237524100,237546630,768,-256,256
237793000,238348100,238364630,-1024,512,0
238595000,239124100,239150630,1280,-512,512
239397000,239940100,239952630,-1536,768,0
240199000,240732100,240762630,768,-768,768
241001000,241556100,241564630,0,0,0
