ideal_clk_ps,div_out_raw_ps,div_out_dtc_ps,comp_3rd,comp_2rd,d_delta_sigma,sum_eo1,sum_eo2
141553000,142084100,142112630,1536,0,0,x,0
142355000,142892100,142918630,-768,2304,2,x,3
143157000,143692100,143724630,1024,-5632,-5,x,13
143959000,144516100,144530630,-256,3840,4,x,2
144761000,145292100,145320630,1536,-2048,-2,x,15
145563000,146108100,146126630,-1792,3328,3,x,3
146365000,146900100,146932630,1024,-5632,-5,x,13
147167000,147724100,147730630,768,2816,3,x,1
147969000,148500100,148528630,1536,0,0,x,0
148771000,149308100,149334630,-768,2304,2,x,3
149573000,150108100,150140630,1024,-5632,-5,x,13
150375000,150932100,150946630,-256,3840,4,x,2
151177000,151708100,151736630,1536,-2048,-2,x,15
151979000,152524100,152542630,-1792,3328,3,x,3
152781000,153316100,153348630,1024,-5632,-5,x,13
153583000,154140100,154146630,768,2816,3,x,1
154385000,154916100,154944630,1536,0,0,x,0
155187000,155724100,155750630,-768,2304,2,x,3
155989000,156524100,156556630,1024,-5632,-5,x,13
156791000,157348100,157362630,-256,3840,4,x,2
157593000,158124100,158152630,1536,-2048,-2,x,15
158395000,158940100,158958630,-1792,3328,3,x,3
159197000,159732100,159764630,1024,-5632,-5,x,13
159999000,160556100,160562630,768,2816,3,x,1
161603000,162148100,162176630,0,0,0,x,0
162405000,162948100,162968630,0,256,0,x,0
163207000,163748100,163768630,256,-512,0,x,0
164009000,164548100,164568630,768,-256,0,x,0
164811000,165348100,165370630,1536,0,0,x,0
165613000,166148100,166174630,-768,2304,2,x,3
166415000,166948100,166980630,1024,-5632,-5,x,13
167217000,167772100,167786630,-256,3840,4,x,2
168019000,168548100,168576630,1536,-2048,-2,x,15
168821000,169364100,169382630,-1792,3328,3,x,3
169623000,170156100,170188630,1024,-5632,-5,x,13
170425000,170980100,170986630,768,2816,3,x,1
171227000,171756100,171784630,1536,0,0,x,0
172029000,172564100,172590630,-768,2304,2,x,3
172831000,173364100,173396630,1024,-5632,-5,x,13
173633000,174188100,174202630,-256,3840,4,x,2
174435000,174964100,174992630,1536,-2048,-2,x,15
175237000,175780100,175798630,-1792,3328,3,x,3
176039000,176572100,176604630,1024,-5632,-5,x,13
176841000,177396100,177402630,768,2816,3,x,1
177643000,178172100,178200630,1536,0,0,x,0
178445000,178980100,179006630,-768,2304,2,x,3
