ideal_clk_ps,div_out_raw_ps,div_out_dtc_ps,comp_3rd,comp_2rd_r2,d_delta_sigma,sum_eo1,sum_eo2
141553000,142084100,142125030,1536,27904,0,0,0
142355000,142892100,142933030,-768,3584,2,256,0
143157000,143692100,143718630,1024,768,-5,0,256
143959000,144516100,144552630,-256,2048,4,512,0
144761000,145292100,145333030,1536,27904,-2,0,512
145563000,146108100,146108150,-1792,4608,3,768,0
146365000,146900100,146910630,1024,31488,-5,0,768
147167000,147724100,147765030,768,3072,3,0,0
147969000,148500100,148541030,1536,27904,0,0,0
148771000,149308100,149349030,-768,3584,2,256,0
149573000,150108100,150134630,1024,768,-5,0,256
150375000,150932100,150968630,-256,2048,4,512,0
151177000,151708100,151749030,1536,27904,-2,0,512
151979000,152524100,152524150,-1792,4608,3,768,0
152781000,153316100,153326630,1024,31488,-5,0,768
153583000,154140100,154181030,768,3072,3,0,0
154385000,154916100,154957030,1536,27904,0,0,0
155187000,155724100,155765030,-768,3584,2,256,0
155989000,156524100,156550630,1024,768,-5,0,256
156791000,157348100,157384630,-256,2048,4,512,0
157593000,158124100,158165030,1536,27904,-2,0,512
158395000,158940100,158940150,-1792,4608,3,768,0
159197000,159732100,159742630,1024,31488,-5,0,768
159999000,160556100,160597030,768,3072,3,0,0
161603000,162148100,162189030,0,27904,0,0,0
162405000,162948100,162968630,0,3584,0,0,0
163207000,163748100,163768630,256,0,0,0,0
164009000,164548100,164568630,768,0,0,0,0
164811000,165348100,165370630,1536,256,0,0,0
165613000,166148100,166172630,-768,512,2,256,0
166415000,166948100,166974630,1024,768,-5,0,256
167217000,167772100,167808630,-256,2048,4,512,0
168019000,168548100,168589030,1536,27904,-2,0,512
168821000,169364100,169364150,-1792,4608,3,768,0
169623000,170156100,170166630,1024,31488,-5,0,768
170425000,170980100,171021030,768,3072,3,0,0
171227000,171756100,171797030,1536,27904,0,0,0
172029000,172564100,172605030,-768,3584,2,256,0
172831000,173364100,173390630,1024,768,-5,0,256
173633000,174188100,174224630,-256,2048,4,512,0
174435000,174964100,175005030,1536,27904,-2,0,512
175237000,175780100,175780150,-1792,4608,3,768,0
176039000,176572100,176582630,1024,31488,-5,0,768
176841000,177396100,177437030,768,3072,3,0,0
177643000,178172100,178213030,1536,27904,0,0,0
178445000,178980100,179021030,-768,3584,2,256,0
179247000,179780100,179806630,1024,768,-5,0,256
180049000,180604100,180640630,-256,2048,4,512,0
180851000,181380100,181421030,1536,27904,-2,0,512
181653000,182196100,182196150,-1792,4608,3,768,0
