ideal_clk_ps,div_out_raw_ps,div_out_dtc_ps,comp_3rd,comp_2rd_tb
142355000,142372100,142394950,1536,-256
143157000,143180100,143201350,-768,2048
143959000,143980100,144006150,1024,256
144761000,144788100,144799750,-256,512
145563000,145596100,145618950,1536,768
146365000,146396100,146410950,-1792,2048
147167000,147204100,147230150,1024,256
147969000,148012100,148017350,768,-512
148771000,148820100,148842950,1536,-256
149573000,149628100,149649350,-768,2048
150375000,150428100,150454150,1024,256
151177000,151236100,151247750,-256,512
151979000,152044100,152066950,1536,768
152781000,152844100,152858950,-1792,2048
153583000,153652100,153678150,1024,256
154385000,154460100,154465350,768,-512
155187000,155268100,155290950,1536,-256
155989000,156076100,156097350,-768,2048
156791000,156876100,156902150,1024,256
157593000,157684100,157695750,-256,512
158395000,158492100,158514950,1536,768
159197000,159292100,159306950,-1792,2048
159999000,160100100,160126150,1024,256
160801000,160908100,160913350,768,-512
161603000,162148100,162170950,0,0
162405000,162948100,162964550,0,0
163207000,163748100,163764550,256,256
164009000,164548100,164564550,768,-512
164811000,165348100,165366150,1536,-256
165613000,166148100,166169350,-768,2048
166415000,166948100,166974150,1024,256
167217000,167756100,167767750,-256,512
168019000,168564100,168586950,1536,768
168821000,169364100,169378950,-1792,2048
169623000,170172100,170198150,1024,256
170425000,170980100,170985350,768,-512
171227000,171788100,171810950,1536,-256
172029000,172596100,172617350,-768,2048
172831000,173396100,173422150,1024,256
173633000,174204100,174215750,-256,512
174435000,175012100,175034950,1536,768
175237000,175812100,175826950,-1792,2048
176039000,176620100,176646150,1024,256
176841000,177428100,177433350,768,-512
177643000,178236100,178258950,1536,-256
178445000,179044100,179065350,-768,2048
179247000,179844100,179870150,1024,256
180049000,180652100,180663750,-256,512
180851000,181460100,181482950,1536,768
181653000,182260100,182274950,-1792,2048
182455000,183068100,183094150,1024,256
183257000,183876100,183881350,768,-512
184059000,184684100,184706950,1536,-256
184861000,185492100,185513350,-768,2048
185663000,186292100,186318150,1024,256
186465000,187100100,187111750,-256,512
187267000,187908100,187930950,1536,768
188069000,188708100,188722950,-1792,2048
188871000,189516100,189542150,1024,256
189673000,190324100,190329350,768,-512
190475000,191132100,191154950,1536,-256
191277000,191940100,191961350,-768,2048
192079000,192740100,192766150,1024,256
192881000,193548100,193559750,-256,512
193683000,194356100,194378950,1536,768
194485000,195156100,195170950,-1792,2048
195287000,195964100,195990150,1024,256
196089000,196772100,196777350,768,-512
196891000,197580100,197602950,1536,-256
197693000,198388100,198409350,-768,2048
198495000,199188100,199214150,1024,256
199297000,199996100,200007750,-256,512
200099000,200804100,200826950,1536,768
200901000,201604100,201618950,-1792,2048
201703000,202412100,202438150,1024,256
202505000,203220100,203225350,768,-512
203307000,204028100,204050950,1536,-256
204109000,204836100,204857350,-768,2048
204911000,205636100,205662150,1024,256
205713000,206444100,206455750,-256,512
206515000,207252100,207274950,1536,768
207317000,208052100,208066950,-1792,2048
208119000,208860100,208886150,1024,256
208921000,209668100,209673350,768,-512
209723000,210476100,210498950,1536,-256
210525000,211284100,211305350,-768,2048
211327000,212084100,212110150,1024,256
212129000,212892100,212903750,-256,512
212931000,213700100,213722950,1536,768
213733000,214500100,214514950,-1792,2048
214535000,215308100,215334150,1024,256
215337000,216116100,216121350,768,-512
216139000,216924100,216946950,1536,-256
216941000,217732100,217753350,-768,2048
217743000,218532100,218558150,1024,256
218545000,219340100,219351750,-256,512
219347000,220148100,220170950,1536,768
220149000,220948100,220962950,-1792,2048
221753000,221756100,221782150,1024,256
222555000,222564100,222569350,768,-512
223357000,223372100,223394950,1536,-256
224159000,224180100,224201350,-768,2048
224961000,224980100,225006150,1024,256
225763000,225788100,225799750,-256,512
226565000,226596100,226618950,1536,768
227367000,227396100,227410950,-1792,2048
228169000,228204100,228230150,1024,256
228971000,229012100,229017350,768,-512
229773000,229820100,229842950,1536,-256
230575000,230628100,230649350,-768,2048
231377000,231428100,231454150,1024,256
232179000,232236100,232247750,-256,512
232981000,233044100,233066950,1536,768
233783000,233844100,233858950,-1792,2048
234585000,234652100,234678150,1024,256
235387000,235460100,235465350,768,-512
236189000,236268100,236290950,1536,-256
236991000,237076100,237097350,-768,2048
237793000,237876100,237902150,1024,256
238595000,238684100,238695750,-256,512
239397000,239492100,239514950,1536,768
240199000,240292100,240306950,-1792,2048
241001000,241100100,241126150,1024,256
241803000,241908100,241913350,768,-512
