edge ref_ps dtc_ps ref_period dtc_period gain dtc_code
1 0 0 4225 4225 42 511
2 4225 4225 114 114 42 511
3 4339 4339 115 115 42 511
4 4454 4454 114 114 42 511
5 4568 4568 113 113 42 511
6 4681 4681 114 114 42 511
7 4795 4795 113 113 42 511
8 4908 4908 116 116 42 511
9 5024 5024 113 113 42 511
10 5137 5137 114 114 42 511
11 5251 5251 113 113 42 511
12 5364 5364 114 114 42 511
13 5478 5478 115 115 42 511
14 5593 5593 114 114 42 511
15 5707 5707 113 113 42 511
16 5820 5820 114 114 42 511
17 5934 5934 114 114 42 511
18 6048 6048 115 115 42 511
19 6163 6163 113 113 42 511
20 6276 6276 114 114 42 511
21 6390 6390 114 114 42 511
22 6504 6504 113 113 42 511
23 6617 6617 115 115 42 511
24 6732 6732 114 114 42 511
25 6846 6846 114 114 42 511
26 6960 6960 113 113 42 511
27 7073 7073 115 115 42 511
28 7188 7188 114 114 42 511
29 7302 7302 114 114 42 511
30 7416 7416 113 113 42 511
31 7529 7529 114 114 42 511
32 7643 7643 115 115 42 511
33 7758 7758 114 114 42 511
34 7872 7872 113 113 42 511
35 7985 7985 114 114 42 511
36 8099 8099 113 113 42 511
37 8212 8212 116 116 42 511
38 8328 8328 113 113 42 511
39 8441 8441 114 114 42 511
40 8555 8555 113 113 42 511
41 8668 8668 114 114 42 511
42 8782 8782 115 115 42 511
43 8897 8897 114 114 42 511
44 9011 9011 113 113 42 511
45 9124 9124 114 114 42 511
46 9238 9238 114 114 42 511
47 9352 9352 115 115 42 511
48 9467 9467 113 113 42 511
49 9580 9580 114 114 42 511
50 9694 9694 114 114 42 511
51 9808 9808 115 115 42 511
52 9923 9923 113 113 42 511
53 10036 10036 114 114 42 511
54 10150 10150 114 114 42 511
55 10264 10264 113 113 42 511
56 10377 10377 115 115 42 511
57 10492 10492 114 114 42 511
58 10606 10606 114 114 42 511
59 10720 10720 113 113 42 511
60 10833 10833 114 114 42 511
61 10947 10947 115 115 42 511
62 11062 11062 114 114 42 511
63 11176 11176 113 113 42 511
64 11289 11289 114 114 42 511
65 11403 11403 113 113 42 511
66 11516 11516 116 116 42 511
67 11632 11632 113 113 42 511
68 11745 11745 114 114 42 511
69 11859 11859 113 113 42 511
70 11972 11972 114 114 42 511
71 12086 12086 115 115 42 511
72 12201 12201 114 114 42 511
73 12315 12315 113 113 42 511
74 12428 12428 114 114 42 511
75 12542 12542 114 114 42 511
76 12656 12656 115 115 42 511
77 12771 12771 113 113 42 511
78 12884 12884 114 114 42 511
79 12998 12998 114 114 42 511
80 13112 13112 115 115 42 511
81 13227 13227 113 113 42 511
82 13340 13340 114 114 42 511
83 13454 13454 114 114 42 511
84 13568 13568 113 113 42 511
85 13681 13681 115 115 42 511
86 13796 13796 114 114 42 511
87 13910 13910 114 114 42 511
88 14024 14024 113 113 42 511
89 14137 14137 114 114 42 511
90 14251 14251 115 115 42 511
91 14366 14366 114 114 42 511
92 14480 14480 113 113 42 511
93 14593 14593 114 114 42 511
94 14707 14707 113 113 42 511
95 14820 14820 116 116 42 511
96 14936 14936 113 113 42 511
97 15049 15049 114 114 42 511
98 15163 15163 113 113 42 511
99 15276 15276 114 114 42 511
100 15390 15390 115 115 42 511
