dtc ,ideal time,dtime,actual time,dtime,jitter,real div,ideal-actual,ddtime,mash eo,d eo,dtc gain,dtc code,dtc2time gain,dtc time,ideal-dtc,dtime,d dtc time,jitter
,222555,,223084.1,,,,-529.1,,0,,0.5,256,0.0625,223100.1,-545.1,,,
,223357,802,223892.1,808,,1,-535.1,-6,0,0,0.5,256,0.0625,223908.1,-551.1,-6,808,
,224159,802,224692.1,800,-8,0,-533.1,2,0,0,0.5,256,0.0625,224708.1,-549.1,2,800,-8
,224961,802,225516.1,824,24,3,-555.1,-22,0,0,0.5,256,0.0625,225532.1,-571.1,-22,824,24
,225763,802,226292.1,776,-48,-3,-529.1,26,0,0,0.5,256,0.0625,226308.1,-545.1,26,776,-48
,226565,802,227108.1,816,40,2,-543.1,-14,0,0,0.5,256,0.0625,227124.1,-559.1,-14,816,40
,227367,802,227900.1,792,-24,-1,-533.1,10,0,0,0.5,256,0.0625,227916.1,-549.1,10,792,-24
,228169,802,228724.1,824,32,3,-555.1,-22,0,0,0.5,256,0.0625,228740.1,-571.1,-22,824,32
,228971,802,229500.1,776,-48,-3,-529.1,26,0,0,0.5,256,0.0625,229516.1,-545.1,26,776,-48
,229773,802,230308.1,808,32,1,-535.1,-6,0,0,0.5,256,0.0625,230324.1,-551.1,-6,808,32
,230575,802,231108.1,800,-8,0,-533.1,2,0,0,0.5,256,0.0625,231124.1,-549.1,2,800,-8
,231377,802,231932.1,824,24,3,-555.1,-22,0,0,0.5,256,0.0625,231948.1,-571.1,-22,824,24
,232179,802,232708.1,776,-48,-3,-529.1,26,0,0,0.5,256,0.0625,232724.1,-545.1,26,776,-48
,232981,802,233524.1,816,40,2,-543.1,-14,0,0,0.5,256,0.0625,233540.1,-559.1,-14,816,40
,233783,802,234316.1,792,-24,-1,-533.1,10,0,0,0.5,256,0.0625,234332.1,-549.1,10,792,-24
,234585,802,235140.1,824,32,3,-555.1,-22,0,0,0.5,256,0.0625,235156.1,-571.1,-22,824,32
,235387,802,235916.1,776,-48,-3,-529.1,26,0,0,0.5,256,0.0625,235932.1,-545.1,26,776,-48
,236189,802,236724.1,808,32,1,-535.1,-6,0,0,0.5,256,0.0625,236740.1,-551.1,-6,808,32
,236991,802,237524.1,800,-8,0,-533.1,2,0,0,0.5,256,0.0625,237540.1,-549.1,2,800,-8
,237793,802,238348.1,824,24,3,-555.1,-22,0,0,0.5,256,0.0625,238364.1,-571.1,-22,824,24
,238595,802,239124.1,776,-48,-3,-529.1,26,0,0,0.5,256,0.0625,239140.1,-545.1,26,776,-48
AVG,230976,802,231514.9,802,48,0.25,-538.9,0,0,,0.5,256,0.0625,231530.9,-554.9,0,802,48
